Name                    |MPF            |     plx|  e_plx|  Teff|e_Teff| logg|e_logg|   plxsp| e_plxsp|Comment
SDSS J122718.17+534149.0|52374-0884-445 | 4.33399|0.15296|  9665|   69|7.593|0.084| 5.07430| 0.31961|
SDSS J122722.85+021507.5|52288-0520-314 | 2.63792|0.12697| 31937|  195|8.070|0.044| 3.06876| 0.11566|
SDSS J122724.31+315023.3|53472-1971-310 |25.81823|0.09035|  6554|   56|8.035|0.109|26.98923| 2.13218|
SDSS J122753.76-001050.8|54153-2568-078 | 3.51522|0.17730| 20280|  278|7.916|0.042| 3.25123| 0.12644|
SDSS J122812.30+240322.5|54498-2659-290 | 9.56519|0.11654|  9947|   35|7.898|0.035| 9.29491| 0.25797|
SDSS J122830.27+125635.4|53120-1614-627 |19.33349|0.09428|  7294|   49|7.772|0.086|16.97897| 1.03128|
SDSS J122859.93+104032.9|52725-1231-617 | 7.89100|0.09178| 23501|  184|8.163|0.026| 7.43417| 0.19126|
SDSS J122931.05+201607.3|54480-2612-488 | 8.52179|0.13133| 13102|  107|8.102|0.024| 8.54985| 0.17941|
SDSS J122942.64+135331.8|53442-1768-260 | 7.40732|0.18303|  8899|   59|7.820|0.079| 7.41710| 0.43366|
SDSS J122959.23-001714.5|51990-0289-109 | 5.97898|0.15095| 13583|  404|7.941|0.050| 6.19624| 0.33960|
SDSS J123009.52+015425.2|52288-0520-233 | 5.74510|0.22336| 10194|   79|7.988|0.067| 5.41971| 0.28982|
SDSS J123011.37+230060.0|54495-2647-390 | 9.48265|0.11816|  9648|   34|8.000|0.037| 9.82113| 0.28916|
SDSS J123143.80+053155.4|52381-0845-468 |11.94370|0.10437|  8539|   36|8.047|0.047|12.10227| 0.44648|
SDSS J123151.81+613013.8|52370-0780-045 | 1.71335|0.14708| 32327|  428|7.691|0.096| 1.55193| 0.12879|
SDSS J123211.51+574711.3|52790-1316-494 | 8.01320|0.06792| 16521|  113|8.019|0.021| 7.97573| 0.15753|
SDSS J123216.05+265829.0|53847-2235-164 | 4.68194|0.21173| 13609|  423|7.960|0.052| 4.79755| 0.27380|
SDSS J123324.02+674529.6|51915-0494-484 |10.12433|0.08262|  9850|   25|7.839|0.026|10.09708| 0.20562|
SDSS J123409.57-002806.9|54562-2920-192 | 5.12650|0.19910| 13608|  175|8.080|0.028| 5.38096| 0.15041|
SDSS J123410.36-022802.8|52000-0335-264 | 1.33085|0.21596| 17801|  360|6.395|0.065| 1.26495| 0.07776|
SDSS J123410.98+580815.6|52790-1316-568 |10.05410|0.05411| 13337|  122|8.049|0.025| 9.97053| 0.22398|
