Name                    |MPF            |     plx|  e_plx|  Teff|e_Teff| logg|e_logg|   plxsp| e_plxsp|Comment
SDSS J140542.26+241243.2|56093-6008-0208| 3.43174|0.24907| 19987|  227|7.929|0.035| 3.04100| 0.09850|
SDSS J140611.24+662806.5|56717-6986-0910| 1.46427|0.14731| 34104|  348|7.681|0.071| 1.28229| 0.08180|
SDSS J140615.12+325244.5|55273-3858-0402| 1.85554|0.25980| 20202|  344|7.721|0.053| 1.85015| 0.09088|
SDSS J140623.01+273103.3|56103-6011-0432| 2.34651|0.15658| 33839|  241|7.821|0.051| 1.93349| 0.08699|
SDSS J140623.67+140529.2|56010-5451-0176| 3.74212|0.15347| 23435|  244|7.785|0.034| 2.93536| 0.09668|
SDSS J140641.94+031940.1|55652-4783-0244| 3.01117|0.27619| 22323|  240|7.937|0.033| 3.01303| 0.09587|
SDSS J140642.22+363754.9|55268-3855-0562| 2.97594|0.13835| 27929|  156|7.907|0.026| 3.02619| 0.07298|
SDSS J140704.31+634944.7|56726-7123-0350| 1.84737|0.18601| 30590|  329|7.607|0.070| 1.29049| 0.07978|
SDSS J140705.81+054258.8|55685-4862-0444| 1.10694|0.29071| 33824|  304|7.402|0.064| 1.22183| 0.07300|
SDSS J140706.02+022053.9|55332-4033-0856| 1.86124|0.29332| 34596|  364|7.788|0.071| 1.35283| 0.08609|
SDSS J140755.73+314555.0|55276-3862-0104| 2.44138|0.28047| 17651|  271|7.942|0.050| 2.42220| 0.10866|
SDSS J140819.66+225426.7|56066-6007-0310| 4.62923|0.12418| 21546|  172|7.937|0.024| 4.32553| 0.09979|
SDSS J140857.38+415213.7|56045-5169-0664| 2.21833|0.09893| 31014|  164|7.544|0.036| 2.27779| 0.07408|
SDSS J140859.68+301048.2|56339-6495-0932| 7.50128|0.21620| 13581|  237|8.583|0.034| 6.89873| 0.25247|
SDSS J140920.63+465207.3|57431-8499-0143| 3.69052|0.16023| 13315|  217|7.961|0.042| 3.79849| 0.14523|
